id,transaction_date,value_date,description,reference,credit,debit,balance,bank_utr
tx_bank_0281,2026-08-19T17:04:00,2026-08-19T17:04:00,CMS/0029381/AXIS30200610/RZP-SETL,REF_200610,19243.58,0.0,7869039.71,AXIS30200610
tx_bank_dup_0281,2026-08-19T17:14:00,2026-08-19T17:04:00,CMS/0029381/AXIS30200610/RZP-SETL (DUP),REF_200610,19243.58,0.0,7888283.29,AXIS30200610
tx_bank_0297,2026-08-19T17:58:00,2026-08-19T17:58:00,CMS/0029381/AXIS60283839/RZP-SETL,REF_283839,9905.6,0.0,8145825.28,AXIS60283839
tx_bank_0022,2026-08-19T23:02:00,2026-08-19T23:02:00,CMS/0029381/AXIS78105370/RZP-SETL,REF_105370,11828.9,0.0,1605962.8,AXIS78105370
tx_bank_0118,2026-08-20T04:36:00,2026-08-20T04:36:00,NEFT/RZPY/AXIS83600812/SETTLEMENT/18Aug,REF_600812,9905.6,0.0,4094076.5,AXIS83600812
tx_bank_0253,2026-08-20T05:11:00,2026-08-20T05:11:00,NEFT-RZP-AXIS58360842-PAYMENTS,REF_360842,14908.26,0.0,7281508.76,AXIS58360842
tx_bank_0146,2026-08-20T12:53:00,2026-08-20T12:53:00,CMS/0029381/AXIS75419352/RZP-SETL,REF_419352,22262.64,0.0,4846051.98,AXIS75419352
tx_bank_0042,2026-08-20T13:46:00,2026-08-20T13:46:00,RAZORPAY-AXIS95386667-SETL-CREDIT,REF_386667,6857.92,0.0,2120822.35,AXIS95386667
tx_bank_0256,2026-08-20T18:15:00,2026-08-20T18:15:00,CMS/0029381/AXIS76962870/RZP-SETL,REF_962870,6933.92,0.0,7321057.59,AXIS76962870
tx_bank_0277,2026-08-20T18:20:00,2026-08-23T18:20:00,NEFT-RZP-AXIS36656353-PAYMENTS,REF_656353,11787.6,0.0,7756424.51,AXIS36656353
tx_bank_deb_05,2026-08-20T19:00:00,2026-08-20T19:00:00,NEFT/DEBIT/AWS INFRASTRUCTURE CLOUD BILL,DR_22223,0.0,45200.0,8221919.25,DR_UTR_197795
tx_bank_0290,2026-08-21T00:14:00,2026-08-21T00:14:00,NEFT-RZP-AXIS61212562-PAYMENTS,REF_212562,23706.08,0.0,8031282.13,AXIS61212562
tx_bank_0084,2026-08-21T08:05:00,2026-08-21T08:05:00,NEFT-RZP-AXIS83543652-PAYMENTS,REF_543652,7811.2,0.0,3311758.56,AXIS83543652
tx_bank_0241,2026-08-21T09:32:00,2026-08-21T09:32:00,RZPY/AXIS46227990/SETL_CREDIT,REF_227990,9905.6,0.0,6991847.12,AXIS46227990
tx_bank_0243,2026-08-21T11:38:00,2026-08-21T11:38:00,RAZORPAY-AXIS38442071-SETL-CREDIT,REF_442071,7924.48,0.0,7022696.65,AXIS38442071
tx_bank_0072,2026-08-21T12:05:00,2026-08-21T12:05:00,RZPY/AXIS49054205/SETL_CREDIT,REF_054205,23999.63,0.0,3023164.11,AXIS49054205
tx_bank_0192,2026-08-21T12:49:00,2026-08-21T12:49:00,RZPY/AXIS47539330/SETL_CREDIT,REF_539330,9124.66,0.0,5734082.11,AXIS47539330
tx_bank_0159,2026-08-21T18:51:00,2026-08-21T18:51:00,NEFT-RZP-AXIS25437721-PAYMENTS,REF_437721,12424.11,0.0,5105959.73,AXIS25437721
tx_bank_0087,2026-08-21T20:06:00,2026-08-21T20:06:00,RAZORPAY-AXIS50812122-SETL-CREDIT,REF_812122,6593.02,0.0,3354316.78,AXIS50812122
tx_bank_unk_001,2026-08-21T23:00:00,2026-08-21T23:00:00,IMPS/DIRECT-CREDIT/ACC9827103/MISC_INFLOW_1,UNK_REF_001,8400.0,0.0,8252319.25,IMPS204415
tx_bank_0027,2026-08-22T06:48:00,2026-08-22T06:48:00,CMS/0029381/AXIS61193233/RZP-SETL,REF_193233,6483.92,0.0,1704648.77,AXIS61193233
tx_bank_0080,2026-08-22T20:19:00,2026-08-22T20:19:00,NEFT-RZP-AXIS87037211-PAYMENTS,REF_037211,17233.32,0.0,3222512.64,AXIS87037211
tx_bank_0165,2026-08-22T20:22:00,2026-08-22T20:22:00,NEFT/RZPY/AXIS78432746/SETTLEMENT/21Aug,REF_432746,7924.48,0.0,5230286.12,AXIS78432746
tx_bank_0292,2026-08-22T21:19:00,2026-08-22T21:19:00,NEFT/RZPY/AXIS97191136/SETTLEMENT/21Aug,REF_191136,9823.0,0.0,8080511.43,AXIS97191136
tx_bank_unk_003,2026-08-22T23:00:00,2026-08-22T23:00:00,IMPS/DIRECT-CREDIT/ACC9827103/MISC_INFLOW_3,UNK_REF_003,8400.0,0.0,8263919.25,IMPS978012
tx_bank_0189,2026-08-23T01:39:00,2026-08-23T01:39:00,CMS/0029381/AXIS10187899/RZP-SETL,REF_187899,7924.48,0.0,5697717.05,AXIS10187899
tx_bank_0286,2026-08-23T04:06:00,2026-08-23T04:06:00,RZPY/AXIS59694974/SETL_CREDIT,REF_694974,1698.8,0.0,7951647.52,AXIS59694974
tx_bank_0090,2026-08-23T04:18:00,2026-08-26T04:18:00,RAZORPAY-AXIS29811269-SETL-CREDIT,REF_811269,2476.4,0.0,3403319.76,AXIS29811269
tx_bank_0263,2026-08-23T04:32:00,2026-08-23T04:32:00,RZPY/AXIS15727818/SETL_CREDIT,REF_727818,24706.18,0.0,7467573.17,AXIS15727818
tx_bank_0224,2026-08-23T05:47:00,2026-08-23T05:47:00,RAZORPAY-AXIS37283734-SETL-CREDIT,REF_283734,19415.82,0.0,6501492.3,AXIS37283734
tx_bank_0094,2026-08-23T06:49:00,2026-08-23T06:49:00,NEFT/RZPY/AXIS90014633/SETTLEMENT/21Aug,REF_014633,28598.94,0.0,3448872.11,AXIS90014633
tx_bank_0055,2026-08-23T07:23:00,2026-08-23T07:23:00,CMS/0029381/AXIS58480869/RZP-SETL,REF_480869,6858.54,0.0,2473436.62,AXIS58480869
tx_bank_0197,2026-08-23T14:34:00,2026-08-23T14:34:00,RAZORPAY-AXIS33637158-SETL-CREDIT,REF_637158,9862.79,0.0,5865850.56,AXIS33637158
tx_bank_0250,2026-08-23T16:14:00,2026-08-23T16:14:00,NEFT/RZPY/AXIS31638985/SETTLEMENT/22Aug,REF_638985,33609.45,0.0,7182373.15,AXIS31638985
tx_bank_deb_08,2026-08-23T19:00:00,2026-08-23T19:00:00,NEFT/DEBIT/GOOGLE WORKSPACE & DOMAINS,DR_87763,0.0,12400.0,7939519.25,DR_UTR_260483
tx_bank_0008,2026-08-23T21:07:00,2026-08-23T21:07:00,RAZORPAY-AXIS94674464-SETL-CREDIT,REF_674464,9897.07,0.0,1358191.23,AXIS94674464
tx_bank_0200,2026-08-23T22:22:00,2026-08-23T22:22:00,RAZORPAY-AXIS71072308-SETL-CREDIT,REF_072308,17764.0,0.0,5975410.7,AXIS71072308
tx_bank_0269,2026-08-23T22:49:00,2026-08-23T22:49:00,NEFT/RZPY/AXIS38539411/SETTLEMENT/22Aug,REF_539411,29440.67,0.0,7576725.46,AXIS38539411
tx_bank_unk_004,2026-08-23T23:00:00,2026-08-23T23:00:00,IMPS/DIRECT-CREDIT/ACC9827103/MISC_INFLOW_4,UNK_REF_004,3200.0,0.0,8267119.25,IMPS313660
tx_bank_0291,2026-08-23T23:20:00,2026-08-23T23:20:00,NEFT/RZPY/AXIS93265522/SETTLEMENT/22Aug,REF_265522,39406.3,0.0,8070688.43,AXIS93265522
tx_bank_0167,2026-08-23T23:47:00,2026-08-23T23:47:00,NEFT/RZPY/AXIS52928316/SETTLEMENT/22Aug,REF_928316,9338.6,0.0,5271015.71,AXIS52928316
tx_bank_0264,2026-08-24T00:28:00,2026-08-24T00:28:00,RZPY/AXIS30744991/SETL_CREDIT,REF_744991,7811.2,0.0,7475384.37,AXIS30744991
tx_bank_0179,2026-08-24T02:09:00,2026-08-24T02:09:00,CMS/0029381/AXIS90417043/RZP-SETL,REF_417043,29696.73,0.0,5504936.89,AXIS90417043
tx_bank_0046,2026-08-24T02:27:00,2026-08-24T02:27:00,RZPY/AXIS35018189/SETL_CREDIT,REF_018189,9892.85,0.0,2202915.9,AXIS35018189
tx_bank_0148,2026-08-24T03:39:00,2026-08-24T03:39:00,NEFT-RZP-AXIS81998064-PAYMENTS,REF_998064,7429.2,0.0,4858992.55,AXIS81998064
tx_bank_0005,2026-08-24T04:56:00,2026-08-24T04:56:00,NEFT/RZPY/AXIS18860555/SETTLEMENT/22Aug,REF_860555,10287.6,0.0,1335938.34,AXIS18860555
tx_bank_0227,2026-08-24T05:10:00,2026-08-24T05:10:00,RAZORPAY-AXIS40143583-SETL-CREDIT,REF_143583,4952.8,0.0,6536518.38,AXIS40143583
tx_bank_0287,2026-08-24T06:56:00,2026-08-24T06:56:00,CMS/0029381/AXIS76992183/RZP-SETL,REF_992183,1251.4,0.0,7952898.92,AXIS76992183
tx_bank_0206,2026-08-24T08:46:00,2026-08-24T08:46:00,NEFT/RZPY/AXIS82950883/SETTLEMENT/23Aug,REF_950883,9905.6,0.0,6106879.48,AXIS82950883
tx_bank_0187,2026-08-24T09:31:00,2026-08-24T09:31:00,RAZORPAY-AXIS49170544-SETL-CREDIT,REF_170544,18109.21,0.0,5684002.87,AXIS49170544
tx_bank_0092,2026-08-24T13:13:00,2026-08-24T13:13:00,NEFT-RZP-AXIS79180538-PAYMENTS,REF_180538,1569.14,0.0,3407065.3,AXIS79180538
tx_bank_0007,2026-08-24T13:43:00,2026-08-24T13:43:00,RZPY/AXIS81965066/SETL_CREDIT,REF_965066,9905.6,0.0,1348294.16,AXIS81965066
tx_bank_0166,2026-08-24T15:09:00,2026-08-27T15:09:00,NEFT-RZP-AXIS58798364-PAYMENTS,REF_798364,31390.99,0.0,5261677.11,AXIS58798364
tx_bank_0174,2026-08-24T15:12:00,2026-08-24T15:12:00,NEFT/RZPY/AXIS15508152/SETTLEMENT/23Aug,REF_508152,2500.0,0.0,5396059.46,AXIS15508152
tx_bank_0116,2026-08-24T19:21:00,2026-08-24T19:21:00,NEFT-RZP-AXIS32017488-PAYMENTS,REF_017488,48441.63,0.0,4076246.42,AXIS32017488
tx_bank_0124,2026-08-24T19:55:00,2026-08-24T19:55:00,RZPY/AXIS34249450/SETL_CREDIT,REF_249450,39943.92,0.0,4214967.39,AXIS34249450
tx_bank_0190,2026-08-24T20:11:00,2026-08-24T20:11:00,RZPY/AXIS83722452/SETL_CREDIT,REF_722452,9905.6,0.0,5707622.65,AXIS83722452
tx_bank_0169,2026-08-24T20:22:00,2026-08-24T20:22:00,CMS/0029381/AXIS67835429/RZP-SETL,REF_835429,7924.48,0.0,5334525.61,AXIS67835429
tx_bank_0073,2026-08-24T23:40:00,2026-08-24T23:40:00,NEFT-RZP-AXIS25583513-PAYMENTS,REF_583513,5496.52,0.0,3028660.63,AXIS25583513
tx_bank_0171,2026-08-25T00:26:00,2026-08-25T00:26:00,RZPY/AXIS54454486/SETL_CREDIT,REF_454486,17830.08,0.0,5377061.87,AXIS54454486
tx_bank_0117,2026-08-25T01:11:00,2026-08-25T01:11:00,RZPY/AXIS91014793/SETL_CREDIT,REF_014793,7924.48,0.0,4084170.9,AXIS91014793
tx_bank_0153,2026-08-25T04:10:00,2026-08-25T04:10:00,NEFT-RZP-AXIS27103900-PAYMENTS,REF_103900,42635.19,0.0,5000378.35,AXIS27103900
tx_bank_0284,2026-08-25T07:20:00,2026-08-25T07:20:00,RAZORPAY-AXIS39343051-SETL-CREDIT,REF_343051,8000.0,0.0,7913792.69,AXIS39343051
tx_bank_0272,2026-08-25T07:55:00,2026-08-25T07:55:00,NEFT/RZPY/AXIS73539966/SETTLEMENT/23Aug,REF_539966,28530.85,0.0,7659041.2,AXIS73539966
tx_bank_0288,2026-08-25T08:54:00,2026-08-25T08:54:00,NEFT-RZP-AXIS67156511-PAYMENTS,REF_156511,42659.06,0.0,7995557.98,AXIS67156511
tx_bank_0205,2026-08-25T09:19:00,2026-08-25T09:19:00,RAZORPAY-AXIS31896876-SETL-CREDIT,REF_896876,21110.67,0.0,6096973.88,AXIS31896876
tx_bank_0259,2026-08-25T13:41:00,2026-08-28T13:41:00,NEFT-RZP-AXIS97280725-PAYMENTS,REF_280725,36302.97,0.0,7391425.73,AXIS97280725
tx_bank_0271,2026-08-25T15:12:00,2026-08-25T15:12:00,CMS/0029381/AXIS14204135/RZP-SETL,REF_204135,25806.05,0.0,7630510.35,AXIS14204135
tx_bank_0175,2026-08-25T15:31:00,2026-08-25T15:31:00,RAZORPAY-AXIS83360594-SETL-CREDIT,REF_360594,9905.6,0.0,5405965.06,AXIS83360594
tx_bank_0225,2026-08-25T16:21:00,2026-08-25T16:21:00,RAZORPAY-AXIS17996341-SETL-CREDIT,REF_996341,4882.0,0.0,6506374.3,AXIS17996341
tx_bank_0195,2026-08-25T16:53:00,2026-08-25T16:53:00,NEFT-RZP-AXIS88069593-PAYMENTS,REF_069593,14646.0,0.0,5835440.86,AXIS88069593
tx_bank_0301,2026-08-25T17:15:00,2026-08-25T17:15:00,NEFT-RZP-AXIS84590103-PAYMENTS,REF_590103,14858.4,0.0,8231294.15,AXIS84590103
tx_bank_0129,2026-08-25T18:38:00,2026-08-25T18:38:00,RZPY/AXIS72903261/SETL_CREDIT,REF_903261,34017.94,0.0,4400844.2,AXIS72903261
tx_bank_deb_10,2026-08-25T19:00:00,2026-08-25T19:00:00,NEFT/DEBIT/VENDOR PAYROLL DISBURSEMENT BATCH,DR_11512,0.0,185000.0,7951919.25,DR_UTR_759443
tx_bank_0104,2026-08-25T20:33:00,2026-08-25T20:33:00,RAZORPAY-AXIS15253706-SETL-CREDIT,REF_253706,4952.8,0.0,3743802.28,AXIS15253706
tx_bank_0240,2026-08-25T20:37:00,2026-08-25T20:37:00,NEFT-RZP-AXIS32122351-PAYMENTS,REF_122351,19393.05,0.0,6981941.52,AXIS32122351
tx_bank_0009,2026-08-25T21:05:00,2026-08-25T21:05:00,NEFT-RZP-AXIS33532534-PAYMENTS,REF_532534,23701.12,0.0,1381892.35,AXIS33532534
tx_bank_0226,2026-08-25T21:57:00,2026-08-25T21:57:00,NEFT-RZP-AXIS71792283-PAYMENTS,REF_792283,25191.28,0.0,6531565.58,AXIS71792283
tx_bank_0260,2026-08-25T22:49:00,2026-08-25T22:49:00,RZPY/AXIS58784400/SETL_CREDIT,REF_784400,7924.48,0.0,7399350.21,AXIS58784400
tx_bank_0014,2026-08-26T01:37:00,2026-08-26T01:37:00,NEFT/RZPY/AXIS37113563/SETTLEMENT/24Aug,REF_113563,31965.94,0.0,1465888.71,AXIS37113563
tx_bank_0105,2026-08-26T03:23:00,2026-08-26T03:23:00,NEFT/RZPY/AXIS85496963/SETTLEMENT/24Aug,REF_496963,6676.1,0.0,3750478.38,AXIS85496963
tx_bank_0093,2026-08-26T06:37:00,2026-08-26T06:37:00,CMS/0029381/AXIS14562440/RZP-SETL,REF_562440,13207.87,0.0,3420273.17,AXIS14562440
tx_bank_0010,2026-08-26T09:14:00,2026-08-26T09:14:00,NEFT-RZP-AXIS54977061-PAYMENTS,REF_977061,4936.12,0.0,1386828.47,AXIS54977061
tx_bank_0229,2026-08-26T11:32:00,2026-08-26T11:32:00,RAZORPAY-AXIS88061980-SETL-CREDIT,REF_061980,33004.4,0.0,6605484.84,AXIS88061980
tx_bank_0024,2026-08-26T11:41:00,2026-08-29T11:41:00,CMS/0029381/AXIS48299416/RZP-SETL,REF_299416,29173.36,0.0,1649895.44,AXIS48299416
tx_bank_0136,2026-08-26T11:48:00,2026-08-26T11:48:00,RZPY/AXIS98741286/SETL_CREDIT,REF_741286,22761.2,0.0,4618961.95,AXIS98741286
tx_bank_0137,2026-08-26T11:56:00,2026-08-26T11:56:00,RZPY/AXIS33463164/SETL_CREDIT,REF_463164,17831.02,0.0,4636792.97,AXIS33463164
tx_bank_0141,2026-08-26T12:22:00,2026-08-26T12:22:00,RZPY/AXIS39187415/SETL_CREDIT,REF_187415,26065.54,0.0,4729662.25,AXIS39187415
tx_bank_0050,2026-08-26T12:25:00,2026-08-26T12:25:00,NEFT-RZP-AXIS18625158-PAYMENTS,REF_625158,25325.7,0.0,2280487.75,AXIS18625158
tx_bank_dup_0141,2026-08-26T12:32:00,2026-08-26T12:22:00,RZPY/AXIS39187415/SETL_CREDIT (DUP),REF_187415,26065.54,0.0,4755727.79,AXIS39187415
tx_bank_0282,2026-08-26T14:44:00,2026-08-26T14:44:00,NEFT-RZP-AXIS64544291-PAYMENTS,REF_544291,7924.48,0.0,7896207.77,AXIS64544291
tx_bank_0157,2026-08-26T14:51:00,2026-08-26T14:51:00,NEFT-RZP-AXIS74450415-PAYMENTS,REF_450415,27127.18,0.0,5080729.14,AXIS74450415
tx_bank_0238,2026-08-26T17:31:00,2026-08-26T17:31:00,RZPY/AXIS39381121/SETL_CREDIT,REF_381121,9764.0,0.0,6927650.16,AXIS39381121
tx_bank_0130,2026-08-26T17:42:00,2026-08-26T17:42:00,CMS/0029381/AXIS40704198/RZP-SETL,REF_704198,39315.83,0.0,4440160.03,AXIS40704198
tx_bank_0020,2026-08-26T18:25:00,2026-08-29T18:25:00,RAZORPAY-AXIS75987111-SETL-CREDIT,REF_987111,4952.8,0.0,1579374.62,AXIS75987111
tx_bank_0069,2026-08-26T19:53:00,2026-08-26T19:53:00,CMS/0029381/AXIS28220919/RZP-SETL,REF_220919,39847.7,0.0,2936482.65,AXIS28220919
tx_bank_0221,2026-08-26T20:01:00,2026-08-26T20:01:00,RZPY/AXIS66191544/SETL_CREDIT,REF_191544,13852.05,0.0,6429755.87,AXIS66191544
tx_bank_0076,2026-08-26T22:23:00,2026-08-26T22:23:00,RZPY/AXIS99086047/SETL_CREDIT,REF_086047,23859.52,0.0,3112661.46,AXIS99086047
tx_bank_0202,2026-08-26T22:28:00,2026-08-26T22:28:00,NEFT/RZPY/AXIS96500924/SETTLEMENT/25Aug,REF_500924,2065.83,0.0,6034802.42,AXIS96500924
tx_bank_unk_002,2026-08-26T23:00:00,2026-08-26T23:00:00,IMPS/DIRECT-CREDIT/ACC9827103/MISC_INFLOW_2,UNK_REF_002,3200.0,0.0,8255519.25,IMPS224122
tx_bank_0185,2026-08-26T23:56:00,2026-08-26T23:56:00,CMS/0029381/AXIS77621275/RZP-SETL,REF_621275,30594.08,0.0,5618611.82,AXIS77621275
tx_bank_0114,2026-08-27T01:37:00,2026-08-27T01:37:00,CMS/0029381/AXIS67088619/RZP-SETL,REF_088619,41311.94,0.0,4000207.94,AXIS67088619
tx_bank_0208,2026-08-27T01:51:00,2026-08-27T01:51:00,NEFT-RZP-AXIS10162459-PAYMENTS,REF_162459,23596.34,0.0,6143361.53,AXIS10162459
tx_bank_0044,2026-08-27T02:03:00,2026-08-27T02:03:00,RZPY/AXIS23001760/SETL_CREDIT,REF_001760,2476.4,0.0,2158674.31,AXIS23001760
tx_bank_0120,2026-08-27T02:12:00,2026-08-27T02:12:00,NEFT-RZP-AXIS11323834-PAYMENTS,REF_323834,14698.56,0.0,4137501.28,AXIS11323834
tx_bank_0295,2026-08-27T02:21:00,2026-08-27T02:21:00,NEFT/RZPY/AXIS61147669/SETTLEMENT/25Aug,REF_147669,28689.78,0.0,8135919.68,AXIS61147669
tx_bank_0196,2026-08-27T02:51:00,2026-08-27T02:51:00,NEFT-RZP-AXIS29909077-PAYMENTS,REF_909077,20546.91,0.0,5855987.77,AXIS29909077
tx_bank_0002,2026-08-27T03:10:00,2026-08-27T03:10:00,NEFT-RZP-AXIS35440639-PAYMENTS,REF_440639,30942.51,0.0,1285895.31,AXIS35440639
tx_bank_dup_0002,2026-08-27T03:20:00,2026-08-27T03:10:00,NEFT-RZP-AXIS35440639-PAYMENTS (DUP),REF_440639,30942.51,0.0,1316837.82,AXIS35440639
tx_bank_0132,2026-08-27T04:11:00,2026-08-27T04:11:00,RZPY/AXIS32161108/SETL_CREDIT,REF_161108,9764.0,0.0,4494852.71,AXIS32161108
tx_bank_0285,2026-08-27T04:37:00,2026-08-27T04:37:00,RZPY/AXIS60674785/SETL_CREDIT,REF_674785,36156.03,0.0,7949948.72,AXIS60674785
tx_bank_0111,2026-08-27T11:05:00,2026-08-27T11:05:00,RAZORPAY-AXIS90818451-SETL-CREDIT,REF_818451,12329.18,0.0,3915592.83,AXIS90818451
tx_bank_0218,2026-08-27T12:13:00,2026-08-27T12:13:00,NEFT-RZP-AXIS22139593-PAYMENTS,REF_139593,14813.4,0.0,6373599.87,AXIS22139593
tx_bank_0065,2026-08-27T12:16:00,2026-08-27T12:16:00,NEFT/RZPY/AXIS83651529/SETTLEMENT/26Aug,REF_651529,28791.73,0.0,2840094.35,AXIS83651529
tx_bank_0155,2026-08-27T14:16:00,2026-08-27T14:16:00,RAZORPAY-AXIS30876492-SETL-CREDIT,REF_876492,13693.02,0.0,5045977.48,AXIS30876492
tx_bank_0070,2026-08-27T14:39:00,2026-08-27T14:39:00,NEFT-RZP-AXIS87305664-PAYMENTS,REF_305664,12340.19,0.0,2948822.84,AXIS87305664
tx_bank_0220,2026-08-27T14:57:00,2026-08-27T14:57:00,RAZORPAY-AXIS95443567-SETL-CREDIT,REF_443567,36845.8,0.0,6415903.82,AXIS95443567
tx_bank_0066,2026-08-27T15:10:00,2026-08-27T15:10:00,NEFT/RZPY/AXIS98938318/SETTLEMENT/26Aug,REF_938318,26823.8,0.0,2866918.15,AXIS98938318
tx_bank_0107,2026-08-27T16:07:00,2026-08-27T16:07:00,CMS/0029381/AXIS10011484/RZP-SETL,REF_011484,36870.14,0.0,3814543.49,AXIS10011484
tx_bank_0275,2026-08-27T16:19:00,2026-08-27T16:19:00,RAZORPAY-AXIS80434503-SETL-CREDIT,REF_434503,27240.4,0.0,7737760.81,AXIS80434503
tx_bank_0125,2026-08-27T16:41:00,2026-08-27T16:41:00,CMS/0029381/AXIS89808139/RZP-SETL,REF_808139,26235.01,0.0,4241202.4,AXIS89808139
tx_bank_0283,2026-08-27T16:41:00,2026-08-27T16:41:00,NEFT/RZPY/AXIS95133372/SETTLEMENT/26Aug,REF_133372,9584.92,0.0,7905792.69,AXIS95133372
tx_bank_0103,2026-08-27T16:54:00,2026-08-27T16:54:00,CMS/0029381/AXIS90410190/RZP-SETL,REF_410190,12693.2,0.0,3738849.48,AXIS90410190
tx_bank_0077,2026-08-27T17:34:00,2026-08-27T17:34:00,RAZORPAY-AXIS52402900-SETL-CREDIT,REF_402900,24104.5,0.0,3136765.96,AXIS52402900
tx_bank_0034,2026-08-27T18:48:00,2026-08-27T18:48:00,CMS/0029381/AXIS31791910/RZP-SETL,REF_791910,30400.77,0.0,1890319.43,AXIS31791910
tx_bank_deb_12,2026-08-27T19:00:00,2026-08-27T19:00:00,NEFT/DEBIT/RAZORPAY DIRECT SUBSCRIPTION FEE,DR_13646,0.0,3500.0,7936019.25,DR_UTR_748124
tx_bank_0043,2026-08-27T19:56:00,2026-08-27T19:56:00,NEFT-RZP-AXIS63414658-PAYMENTS,REF_414658,35375.56,0.0,2156197.91,AXIS63414658
tx_bank_0152,2026-08-27T20:42:00,2026-08-27T20:42:00,RZPY/AXIS99287389/SETL_CREDIT,REF_287389,44875.7,0.0,4957743.16,AXIS99287389
tx_bank_0289,2026-08-27T21:29:00,2026-08-27T21:29:00,RZPY/AXIS60079518/SETL_CREDIT,REF_079518,12018.07,0.0,8007576.05,AXIS60079518
tx_bank_0212,2026-08-27T22:16:00,2026-08-27T22:16:00,NEFT-RZP-AXIS21382241-PAYMENTS,REF_382241,28994.96,0.0,6265635.35,AXIS21382241
tx_bank_0209,2026-08-27T23:42:00,2026-08-27T23:42:00,NEFT-RZP-AXIS57420453-PAYMENTS,REF_420453,30145.21,0.0,6173506.74,AXIS57420453
tx_bank_0040,2026-08-28T00:01:00,2026-08-28T00:01:00,CMS/0029381/AXIS66766698/RZP-SETL,REF_766698,8111.2,0.0,2087984.53,AXIS66766698
tx_bank_0247,2026-08-28T00:32:00,2026-08-28T00:32:00,NEFT/RZPY/AXIS52207776/SETTLEMENT/26Aug,REF_207776,6704.18,0.0,7100896.0,AXIS52207776
tx_bank_0191,2026-08-28T00:46:00,2026-08-28T00:46:00,CMS/0029381/AXIS53571790/RZP-SETL,REF_571790,17334.8,0.0,5724957.45,AXIS53571790
tx_bank_0149,2026-08-28T00:56:00,2026-08-28T00:56:00,CMS/0029381/AXIS28773624/RZP-SETL,REF_773624,9173.79,0.0,4868166.34,AXIS28773624
tx_bank_0210,2026-08-28T03:30:00,2026-08-28T03:30:00,RAZORPAY-AXIS25087236-SETL-CREDIT,REF_087236,43796.72,0.0,6217303.46,AXIS25087236
tx_bank_0074,2026-08-28T03:56:00,2026-08-28T03:56:00,RAZORPAY-AXIS10225283-SETL-CREDIT,REF_225283,37924.51,0.0,3066585.14,AXIS10225283
tx_bank_0059,2026-08-28T04:08:00,2026-08-28T04:08:00,CMS/0029381/AXIS65448912/RZP-SETL,REF_448912,32242.9,0.0,2605345.02,AXIS65448912
