settlement_id,payment_id,type,amount,fee,tax
setl_0021,pay_0046,payment,8000.0,64.0,11.52
setl_0022,pay_0047,payment,7000.0,105.0,18.9
setl_0022,pay_0048,payment,5000.0,40.0,7.2
setl_0023,pay_0049,payment,8000.0,64.0,11.52
setl_0023,pay_0050,payment,7000.0,140.0,25.2
setl_0024,pay_0051,payment,5000.0,40.0,7.2
setl_0024,pay_0052,payment,16689.96,333.8,60.08
setl_0024,pay_0053,payment,8000.0,64.0,11.52
setl_0025,pay_0054,payment,10000.0,80.0,14.4
setl_0025,pay_0055,payment,1206.35,18.1,3.26
setl_0025,pay_0056,payment,769.36,6.15,1.11
setl_0025,pay_0057,payment,2500.0,20.0,3.6
setl_0026,pay_0058,payment,10000.0,150.0,27.0
setl_0026,pay_0059,payment,10000.0,80.0,14.4
setl_0026,pay_0060,payment,4347.16,34.78,6.26
setl_0026,pay_0061,payment,10000.0,80.0,14.4
setl_0027,pay_0062,payment,7000.0,56.0,10.08
setl_0028,pay_0063,refund,5000.0,40.0,7.2
setl_0028,pay_0064,payment,10000.0,150.0,27.0
setl_0028,pay_0065,payment,7000.0,56.0,10.08
setl_0028,pay_0066,payment,7000.0,56.0,10.08
setl_0028,pay_0067,payment,2500.0,20.0,3.6
setl_0029,pay_0068,payment,8346.46,66.77,12.02
setl_0029,pay_0069,payment,21037.27,168.3,30.29
setl_0029,pay_0070,payment,8000.0,64.0,11.52
setl_0030,pay_0071,payment,5000.0,40.0,7.2
setl_0030,pay_0072,payment,2091.61,16.73,3.01
setl_0031,pay_0073,payment,10000.0,80.0,14.4
setl_0031,pay_0074,payment,8000.0,64.0,11.52
setl_0031,pay_0075,payment,5000.0,100.0,18.0
setl_0031,pay_0076,payment,2500.0,20.0,3.6
setl_0031,pay_0077,payment,8000.0,64.0,11.52
setl_0031,pay_0078,refund,10000.0,80.0,14.4
setl_0032,pay_0079,payment,2500.0,20.0,3.6
setl_0032,pay_0080,payment,8000.0,64.0,11.52
setl_0032,pay_0081,payment,5000.0,40.0,7.2
setl_0032,pay_0082,refund,5000.0,40.0,7.2
setl_0032,pay_0083,payment,17407.1,139.26,25.07
setl_0032,pay_0084,payment,15487.97,123.9,22.3
setl_0033,pay_0085,payment,1241.49,9.93,1.79
setl_0034,pay_0086,payment,5000.0,100.0,18.0
setl_0034,pay_0087,payment,2206.35,17.65,3.18
setl_0034,pay_0088,payment,10669.97,85.36,15.36
setl_0034,pay_0089,payment,8000.0,160.0,28.8
setl_0034,pay_0090,payment,5000.0,40.0,7.2
setl_0035,pay_0091,payment,8000.0,64.0,11.52
setl_0035,pay_0092,payment,8000.0,64.0,11.52
setl_0035,pay_0093,payment,2267.79,18.14,3.27
setl_0035,pay_0094,payment,2499.1,49.98,9.0
setl_0035,pay_0095,payment,10000.0,80.0,14.4
setl_0036,pay_0096,payment,10000.0,80.0,14.4
setl_0036,pay_0097,payment,7000.0,105.0,18.9
setl_0036,pay_0098,payment,10000.0,80.0,14.4
setl_0036,pay_0099,payment,10000.0,80.0,14.4
setl_0037,pay_0100,payment,5529.61,44.24,7.96
setl_0037,pay_0101,payment,8000.0,64.0,11.52
setl_0037,pay_0102,payment,5000.0,75.0,13.5
setl_0037,pay_0103,refund,2500.0,37.5,6.75
setl_0037,pay_0104,payment,19218.99,153.75,27.68
setl_0037,pay_0105,payment,5000.0,40.0,7.2
setl_0038,pay_0106,payment,7000.0,56.0,10.08
setl_0038,pay_0107,payment,5262.6,78.94,14.21
setl_0038,pay_0108,payment,22805.86,182.45,32.84
setl_0039,pay_0109,payment,7000.0,56.0,10.08
setl_0039,pay_0110,payment,8000.0,64.0,11.52
setl_0039,pay_0111,payment,9708.62,194.17,34.95
setl_0039,pay_0112,payment,5000.0,40.0,7.2
setl_0039,pay_0113,payment,5000.0,40.0,7.2
setl_0039,pay_0114,payment,10000.0,150.0,27.0
setl_0040,pay_0115,payment,7000.0,140.0,25.2
setl_0040,pay_0116,payment,2500.0,20.0,3.6
setl_0041,pay_0117,payment,1782.28,26.73,4.81
setl_0041,pay_0118,payment,2500.0,20.0,3.6
setl_0041,pay_0119,payment,6125.5,91.88,16.54
setl_0041,pay_0120,payment,8000.0,64.0,11.52
setl_0041,pay_0121,payment,8000.0,160.0,28.8
setl_0042,pay_0122,payment,6923.28,55.39,9.97
setl_0043,pay_0123,payment,7151.59,143.03,25.75
setl_0043,pay_0124,payment,7000.0,140.0,25.2
setl_0043,pay_0125,payment,5000.0,40.0,7.2
setl_0043,pay_0126,payment,1763.4,14.11,2.54
setl_0043,pay_0127,payment,7000.0,56.0,10.08
setl_0043,pay_0128,payment,8000.0,64.0,11.52
setl_0044,pay_0129,payment,2500.0,20.0,3.6
setl_0045,pay_0130,payment,10000.0,80.0,14.4
setl_0045,pay_0131,payment,12140.67,242.81,43.71
setl_0045,pay_0132,payment,2500.0,50.0,9.0
setl_0045,pay_0133,refund,17183.66,137.47,24.74
setl_0046,pay_0134,payment,899.66,7.2,1.3
setl_0046,pay_0135,payment,6779.09,54.23,9.76
setl_0046,pay_0136,payment,2308.38,18.47,3.32
setl_0047,pay_0137,payment,7503.35,60.03,10.81
setl_0048,pay_0138,payment,8000.0,64.0,11.52
setl_0048,pay_0139,payment,5000.0,40.0,7.2
setl_0049,pay_0140,payment,7000.0,56.0,10.08
setl_0049,pay_0141,payment,7000.0,56.0,10.08
setl_0049,pay_0142,payment,7761.44,62.09,11.18
setl_0049,pay_0143,payment,8000.0,64.0,11.52
setl_0049,pay_0144,payment,2500.0,20.0,3.6
setl_0049,pay_0145,refund,2174.83,17.4,3.13
setl_0050,pay_0146,payment,13967.4,209.51,37.71
setl_0050,pay_0147,payment,5000.0,40.0,7.2
setl_0050,pay_0148,payment,6772.6,101.59,18.29
setl_0051,pay_0149,payment,10000.0,80.0,14.4
setl_0051,pay_0150,payment,10000.0,80.0,14.4
setl_0051,pay_0151,payment,5000.0,100.0,18.0
setl_0051,pay_0152,payment,7000.0,56.0,10.08
setl_0052,pay_0153,payment,2093.02,16.74,3.01
setl_0052,pay_0154,payment,8000.0,64.0,11.52
setl_0052,pay_0155,payment,7076.14,56.61,10.19
setl_0052,pay_0156,payment,2500.0,20.0,3.6
setl_0052,pay_0157,payment,2500.0,20.0,3.6
setl_0052,pay_0158,payment,10949.48,218.99,39.42
setl_0053,pay_0159,payment,10000.0,200.0,36.0
setl_0053,pay_0160,payment,18662.7,149.3,26.87
setl_0053,pay_0161,payment,8000.0,64.0,11.52
setl_0053,pay_0162,payment,7000.0,56.0,10.08
setl_0054,pay_0163,payment,10000.0,80.0,14.4
setl_0054,pay_0164,payment,9433.6,75.47,13.58
setl_0054,pay_0165,payment,7000.0,56.0,10.08
setl_0054,pay_0166,payment,7000.0,56.0,10.08
setl_0054,pay_0167,payment,2500.0,20.0,3.6
setl_0055,pay_0168,payment,7000.0,56.0,10.08
setl_0055,pay_0169,refund,7984.4,63.88,11.5
setl_0056,pay_0170,payment,5000.0,40.0,7.2
setl_0056,pay_0171,payment,2055.05,41.1,7.4
setl_0056,pay_0172,payment,19778.38,395.57,71.2
setl_0057,pay_0173,payment,10000.0,80.0,14.4
setl_0057,pay_0174,payment,10000.0,80.0,14.4
setl_0057,pay_0175,payment,21621.41,324.32,58.38
setl_0057,pay_0176,payment,3064.24,24.51,4.41
setl_0057,pay_0177,refund,5000.0,100.0,18.0
setl_0057,pay_0178,payment,2500.0,20.0,3.6
setl_0058,pay_0179,payment,10000.0,200.0,36.0
setl_0058,pay_0180,payment,12350.71,98.81,17.79
setl_0058,pay_0181,payment,5000.0,40.0,7.2
setl_0059,pay_0182,payment,5000.0,100.0,18.0
setl_0059,pay_0183,payment,4791.12,38.33,6.9
setl_0059,pay_0184,payment,10000.0,80.0,14.4
setl_0059,pay_0185,payment,2871.58,57.43,10.34
setl_0059,pay_0186,payment,10000.0,80.0,14.4
setl_0060,pay_0187,payment,8000.0,64.0,11.52
setl_0061,pay_0188,payment,10000.0,80.0,14.4
setl_0061,pay_0189,payment,8000.0,64.0,11.52
setl_0061,pay_0190,payment,13763.62,110.11,19.82
setl_0061,pay_0191,payment,7000.0,56.0,10.08
setl_0061,pay_0192,payment,10000.0,80.0,14.4
setl_0061,pay_0193,payment,7000.0,56.0,10.08
setl_0062,pay_0194,payment,20748.27,165.99,29.88
setl_0063,pay_0195,payment,2500.0,20.0,3.6
setl_0063,pay_0196,payment,4540.3,36.32,6.54
setl_0063,pay_0197,payment,8440.53,67.52,12.15
setl_0063,pay_0198,payment,8000.0,160.0,28.8
setl_0063,pay_0199,payment,3449.61,68.99,12.42
setl_0063,pay_0200,payment,23152.64,463.05,83.35
setl_0064,pay_0201,payment,24747.25,197.98,35.64
setl_0064,pay_0202,payment,6920.14,55.36,9.96
setl_0064,pay_0203,payment,17773.31,142.19,25.59
setl_0064,pay_0204,payment,22093.91,441.88,79.54
setl_0064,pay_0205,payment,10601.26,84.81,15.27
setl_0065,pay_0206,payment,8000.0,64.0,11.52
setl_0065,pay_0207,payment,18896.79,151.17,27.21
setl_0065,pay_0208,payment,2169.31,17.35,3.12
setl_0066,pay_0209,payment,10000.0,150.0,27.0
setl_0066,pay_0210,payment,8000.0,64.0,11.52
setl_0066,pay_0211,payment,2500.0,37.5,6.75
setl_0066,pay_0212,payment,6683.66,53.47,9.62
setl_0067,pay_0213,payment,7000.0,56.0,10.08
setl_0068,pay_0214,payment,10000.0,80.0,14.4
setl_0068,pay_0215,payment,5000.0,40.0,7.2
setl_0068,pay_0216,payment,8000.0,64.0,11.52
setl_0069,pay_0217,payment,955.39,7.64,1.38
setl_0069,pay_0218,payment,8000.0,160.0,28.8
setl_0069,pay_0219,payment,2500.0,20.0,3.6
setl_0069,pay_0220,payment,2500.0,50.0,9.0
setl_0069,pay_0221,payment,18422.16,147.38,26.53
setl_0069,pay_0222,payment,8000.0,64.0,11.52
setl_0070,pay_0223,payment,2457.79,19.66,3.54
setl_0070,pay_0224,payment,10000.0,80.0,14.4
setl_0071,pay_0225,payment,7019.14,56.15,10.11
setl_0071,pay_0226,payment,10000.0,150.0,27.0
setl_0071,pay_0227,payment,10000.0,80.0,14.4
setl_0071,pay_0228,payment,8000.0,64.0,11.52
setl_0071,pay_0229,payment,8000.0,160.0,28.8
setl_0071,pay_0230,payment,8000.0,64.0,11.52
setl_0072,pay_0231,payment,24228.35,193.83,34.89
setl_0073,pay_0232,payment,5000.0,100.0,18.0
setl_0073,pay_0233,payment,629.38,12.59,2.27
setl_0074,pay_0234,payment,16030.87,128.25,23.09
setl_0074,pay_0235,payment,8000.0,64.0,11.52
setl_0074,pay_0236,payment,1769.83,26.55,4.78
setl_0074,pay_0237,payment,10000.0,80.0,14.4
setl_0074,pay_0238,payment,2500.0,20.0,3.6
setl_0075,pay_0239,payment,5000.0,100.0,18.0
setl_0075,pay_0240,payment,8000.0,64.0,11.52
setl_0075,pay_0241,payment,2500.0,20.0,3.6
setl_0075,pay_0242,payment,7000.0,56.0,10.08
setl_0076,pay_0243,payment,5000.0,40.0,7.2
setl_0076,pay_0244,payment,8000.0,160.0,28.8
setl_0076,pay_0245,payment,2500.0,20.0,3.6
setl_0076,pay_0246,payment,3701.26,29.61,5.33
setl_0076,pay_0247,payment,5000.0,40.0,7.2
setl_0077,pay_0248,payment,10000.0,80.0,14.4
setl_0077,pay_0249,payment,10000.0,200.0,36.0
setl_0077,pay_0250,payment,2114.55,16.92,3.05
setl_0077,pay_0251,payment,2362.62,18.9,3.4
setl_0078,pay_0252,payment,7000.0,56.0,10.08
setl_0078,pay_0253,payment,2500.0,20.0,3.6
setl_0078,pay_0254,payment,8000.0,64.0,11.52
setl_0078,pay_0255,payment,8000.0,64.0,11.52
setl_0079,pay_0256,payment,2099.9,16.8,3.02
setl_0079,pay_0257,payment,1655.35,13.24,2.38
setl_0079,pay_0258,payment,5000.0,100.0,18.0
setl_0079,pay_0259,payment,12027.37,96.22,17.32
setl_0079,pay_0260,payment,22955.14,183.64,33.06
setl_0080,pay_0261,payment,2500.0,50.0,9.0
setl_0080,pay_0262,payment,8000.0,120.0,21.6
setl_0080,pay_0263,payment,7000.0,56.0,10.08
setl_0081,pay_0264,payment,5000.0,40.0,7.2
setl_0081,pay_0265,payment,5000.0,40.0,7.2
setl_0081,pay_0266,payment,7654.38,153.09,27.56
setl_0082,pay_0267,payment,2500.0,50.0,9.0
setl_0082,pay_0268,payment,10000.0,80.0,14.4
setl_0082,pay_0269,payment,5000.0,100.0,18.0
setl_0082,pay_0270,payment,2500.0,20.0,3.6
setl_0082,pay_0271,payment,10000.0,80.0,14.4
setl_0082,pay_0272,payment,10000.0,80.0,14.4
setl_0083,pay_0273,payment,1500.28,30.01,5.4
setl_0083,pay_0274,payment,10000.0,80.0,14.4
setl_0083,pay_0275,payment,7000.0,56.0,10.08
setl_0083,pay_0276,payment,7000.0,140.0,25.2
setl_0084,pay_0277,payment,8000.0,160.0,28.8
setl_0085,pay_0278,payment,5000.0,40.0,7.2
setl_0085,pay_0279,payment,7000.0,56.0,10.08
setl_0085,pay_0280,payment,2500.0,20.0,3.6
setl_0086,pay_0281,payment,10000.0,80.0,14.4
setl_0086,pay_0282,payment,2500.0,20.0,3.6
setl_0086,pay_0283,payment,9307.94,74.46,13.4
setl_0087,pay_0284,payment,6655.85,53.25,9.58
setl_0088,pay_0285,payment,7000.0,56.0,10.08
setl_0088,pay_0286,payment,7000.0,56.0,10.08
setl_0088,pay_0287,payment,4124.59,33.0,5.94
setl_0088,pay_0288,payment,4642.92,37.14,6.69
setl_0089,pay_0289,payment,7000.0,56.0,10.08
setl_0089,pay_0290,payment,8000.0,64.0,11.52
setl_0089,pay_0291,payment,17723.33,354.47,63.8
setl_0089,pay_0292,payment,7000.0,56.0,10.08
setl_0089,pay_0293,payment,5000.0,40.0,7.2
setl_0089,pay_0294,payment,2500.0,20.0,3.6
setl_0090,pay_0295,payment,2500.0,20.0,3.6
setl_0091,pay_0296,payment,2500.0,20.0,3.6
setl_0092,pay_0297,payment,1584.09,12.67,2.28
setl_0093,pay_0298,payment,7000.0,140.0,25.2
setl_0093,pay_0299,payment,6433.8,51.47,9.26
setl_0094,pay_0300,payment,1463.89,29.28,5.27
setl_0094,pay_0301,payment,5000.0,100.0,18.0
setl_0094,pay_0302,payment,2500.0,20.0,3.6
setl_0094,pay_0303,payment,5000.0,40.0,7.2
setl_0094,pay_0304,payment,10000.0,80.0,14.4
setl_0094,pay_0305,payment,5000.0,40.0,7.2
setl_0095,pay_0306,payment,4254.0,34.03,6.13
setl_0095,pay_0307,payment,12146.52,97.17,17.49
setl_0095,pay_0308,payment,7000.0,56.0,10.08
setl_0095,pay_0309,payment,5000.0,40.0,7.2
setl_0096,pay_0310,payment,10000.0,80.0,14.4
setl_0096,pay_0311,payment,4637.52,37.1,6.68
setl_0096,pay_0312,payment,6903.37,138.07,24.85
setl_0097,pay_0313,payment,7000.0,56.0,10.08
setl_0097,pay_0314,payment,18969.42,151.76,27.32
setl_0097,pay_0315,payment,2168.17,17.35,3.12
setl_0097,pay_0316,payment,10000.0,80.0,14.4
setl_0097,pay_0317,payment,8000.0,64.0,11.52
setl_0097,pay_0318,payment,8000.0,160.0,28.8
setl_0098,pay_0319,payment,7000.0,56.0,10.08
setl_0098,pay_0320,payment,2677.27,21.42,3.86
setl_0098,pay_0321,payment,7000.0,56.0,10.08
setl_0098,pay_0322,payment,12778.45,102.23,18.4
setl_0099,pay_0323,payment,5329.28,42.63,7.67
setl_0099,pay_0324,payment,19924.25,159.39,28.69
setl_0099,pay_0325,payment,8000.0,64.0,11.52
setl_0099,pay_0326,payment,8000.0,160.0,28.8
setl_0100,pay_0327,payment,2513.6,50.27,9.05
setl_0100,pay_0328,payment,7000.0,140.0,25.2
setl_0100,pay_0329,payment,10000.0,200.0,36.0
setl_0101,pay_0330,refund,6811.39,102.17,18.39
setl_0101,pay_0331,payment,8000.0,64.0,11.52
setl_0101,pay_0332,payment,23364.6,186.92,33.65
setl_0101,pay_0333,payment,891.7,7.13,1.28
setl_0102,pay_0334,payment,2551.08,20.41,3.67
setl_0102,pay_0335,payment,2991.32,23.93,4.31
setl_0102,pay_0336,payment,18906.79,151.25,27.22
setl_0102,pay_0337,payment,18677.36,280.16,50.43
setl_0102,pay_0338,payment,7000.0,56.0,10.08
setl_0103,pay_0339,payment,8000.0,160.0,28.8
setl_0103,pay_0340,payment,5000.0,100.0,18.0
setl_0104,pay_0341,payment,5000.0,40.0,7.2
setl_0105,pay_0342,payment,7000.0,105.0,18.9
setl_0106,pay_0343,payment,5090.58,40.72,7.33
setl_0106,pay_0344,payment,8000.0,64.0,11.52
setl_0106,pay_0345,payment,8000.0,64.0,11.52
setl_0106,pay_0346,payment,5450.15,43.6,7.85
setl_0106,pay_0347,payment,913.41,7.31,1.32
setl_0107,pay_0348,payment,10000.0,80.0,14.4
setl_0107,pay_0349,payment,8000.0,160.0,28.8
setl_0107,pay_0350,payment,2851.3,22.81,4.11
setl_0107,pay_0351,payment,4522.28,67.83,12.21
setl_0107,pay_0352,payment,5000.0,40.0,7.2
setl_0107,pay_0353,payment,7000.0,56.0,10.08
setl_0108,pay_0354,payment,969.64,7.76,1.4
setl_0108,pay_0355,payment,8000.0,64.0,11.52
setl_0108,pay_0356,payment,5000.0,40.0,7.2
setl_0108,pay_0357,payment,21531.55,172.25,31.0
setl_0108,pay_0358,payment,2500.0,20.0,3.6
setl_0108,pay_0359,payment,7000.0,56.0,10.08
setl_0109,pay_0360,payment,7000.0,140.0,25.2
setl_0109,pay_0361,payment,3234.33,25.87,4.66
setl_0109,pay_0362,payment,7000.0,140.0,25.2
setl_0109,pay_0363,payment,7689.55,61.52,11.07
setl_0109,pay_0364,payment,10000.0,80.0,14.4
setl_0110,pay_0365,payment,1840.72,14.73,2.65
setl_0110,pay_0366,payment,8000.0,64.0,11.52
setl_0111,pay_0367,payment,5525.66,110.51,19.89
setl_0111,pay_0368,payment,7000.0,56.0,10.08
setl_0112,pay_0369,payment,6970.11,55.76,10.04
setl_0112,pay_0370,payment,2300.66,34.51,6.21
setl_0112,pay_0371,payment,7000.0,56.0,10.08
setl_0112,pay_0372,payment,5000.0,40.0,7.2
setl_0112,pay_0373,payment,5000.0,40.0,7.2
setl_0112,pay_0374,payment,2500.0,20.0,3.6
setl_0113,pay_0375,payment,2500.0,20.0,3.6
setl_0113,pay_0376,payment,5000.0,40.0,7.2
setl_0113,pay_0377,payment,5000.0,40.0,7.2
setl_0113,pay_0378,payment,2500.0,50.0,9.0
setl_0114,pay_0379,payment,17650.07,141.2,25.42
setl_0114,pay_0380,payment,5000.0,40.0,7.2
setl_0114,pay_0381,payment,2500.0,20.0,3.6
setl_0114,pay_0382,payment,7155.64,57.25,10.3
setl_0114,pay_0383,payment,7000.0,140.0,25.2
setl_0114,pay_0384,payment,2500.0,20.0,3.6
setl_0115,pay_0385,payment,7000.0,105.0,18.9
setl_0115,pay_0386,payment,6948.44,104.23,18.76
setl_0115,pay_0387,payment,4257.35,85.15,15.33
setl_0115,pay_0388,refund,3958.67,31.67,5.7
setl_0115,pay_0389,payment,10000.0,150.0,27.0
setl_0115,pay_0390,refund,5000.0,40.0,7.2
setl_0116,pay_0391,payment,23094.83,461.9,83.14
setl_0116,pay_0392,payment,8526.88,68.22,12.28
setl_0116,pay_0393,payment,8000.0,160.0,28.8
setl_0116,pay_0394,payment,2500.0,20.0,3.6
setl_0116,pay_0395,payment,8437.51,67.5,12.15
setl_0117,pay_0396,payment,8000.0,64.0,11.52
setl_0118,pay_0397,payment,10000.0,80.0,14.4
setl_0119,pay_0398,payment,2500.0,50.0,9.0
setl_0119,pay_0399,payment,10000.0,80.0,14.4
setl_0119,pay_0400,payment,16535.72,132.29,23.81
setl_0120,pay_0401,payment,751.05,6.01,1.08
setl_0120,pay_0402,payment,7087.59,56.7,10.21
setl_0120,pay_0403,payment,7000.0,56.0,10.08
setl_0121,pay_0404,payment,7668.07,153.36,27.6
setl_0122,pay_0405,payment,10000.0,80.0,14.4
setl_0122,pay_0406,payment,2500.0,50.0,9.0
setl_0122,pay_0407,payment,8000.0,64.0,11.52
setl_0122,pay_0408,payment,10000.0,200.0,36.0
setl_0123,pay_0409,payment,7000.0,140.0,25.2
setl_0123,pay_0410,payment,7000.0,56.0,10.08
setl_0123,pay_0411,payment,764.85,6.12,1.1
setl_0123,pay_0412,payment,7000.0,56.0,10.08
setl_0123,pay_0413,payment,10000.0,80.0,14.4
setl_0124,pay_0414,payment,943.19,7.55,1.36
setl_0124,pay_0415,payment,8000.0,160.0,28.8
setl_0124,pay_0416,payment,23495.76,187.97,33.83
setl_0124,pay_0417,payment,8000.0,64.0,11.52
setl_0125,pay_0418,payment,7000.0,56.0,10.08
setl_0125,pay_0419,payment,8000.0,64.0,11.52
setl_0125,pay_0420,payment,8000.0,64.0,11.52
setl_0125,pay_0421,payment,2500.0,50.0,9.0
setl_0125,pay_0422,payment,1020.77,8.17,1.47
setl_0126,pay_0423,payment,2500.0,20.0,3.6
setl_0127,pay_0424,payment,8000.0,160.0,28.8
setl_0127,pay_0425,payment,8000.0,64.0,11.52
setl_0127,pay_0426,payment,7181.68,57.45,10.34
setl_0127,pay_0427,payment,8919.05,71.35,12.84
setl_0127,pay_0428,payment,10434.81,208.7,37.57
setl_0128,pay_0429,payment,5000.0,100.0,18.0
setl_0128,pay_0430,payment,7000.0,56.0,10.08
setl_0128,pay_0431,refund,479.22,7.19,1.29
setl_0128,pay_0432,payment,8000.0,64.0,11.52
setl_0128,pay_0433,payment,10000.0,200.0,36.0
setl_0128,pay_0434,payment,10000.0,80.0,14.4
setl_0129,pay_0435,payment,20361.87,162.89,29.32
setl_0129,pay_0436,payment,8000.0,160.0,28.8
setl_0129,pay_0437,payment,6094.62,48.76,8.78
setl_0130,pay_0438,payment,1873.92,14.99,2.7
setl_0130,pay_0439,payment,6353.99,50.83,9.15
setl_0130,pay_0440,payment,8000.0,160.0,28.8
setl_0130,pay_0441,payment,10000.0,80.0,14.4
setl_0130,pay_0442,payment,5657.84,113.16,20.37
setl_0130,pay_0443,payment,8000.0,64.0,11.52
setl_0131,pay_0444,payment,2500.0,20.0,3.6
setl_0131,pay_0445,payment,19277.04,154.22,27.76
setl_0131,pay_0446,payment,4549.42,36.4,6.55
setl_0131,pay_0447,payment,19030.39,152.24,27.4
setl_0132,pay_0448,payment,10000.0,200.0,36.0
setl_0133,pay_0449,payment,22663.79,181.31,32.64
setl_0133,pay_0450,payment,5000.0,40.0,7.2
setl_0133,pay_0451,payment,5000.0,40.0,7.2
setl_0133,pay_0452,payment,2161.97,17.3,3.11
setl_0134,pay_0453,payment,10000.0,80.0,14.4
setl_0134,pay_0454,payment,4582.51,36.66,6.6
setl_0134,pay_0455,payment,1446.76,11.57,2.08
setl_0134,pay_0456,payment,8000.0,120.0,21.6
setl_0135,pay_0457,payment,5000.0,100.0,18.0
setl_0135,pay_0458,payment,6114.42,48.92,8.81
setl_0135,pay_0459,payment,2500.0,50.0,9.0
setl_0135,pay_0460,payment,5000.0,40.0,7.2
setl_0135,pay_0461,payment,7000.0,56.0,10.08
setl_0135,pay_0462,payment,18018.37,144.15,25.95
setl_0136,pay_0463,payment,16209.84,324.2,58.36
setl_0136,pay_0464,payment,7000.0,56.0,10.08
setl_0137,pay_0465,payment,13000.95,104.01,18.72
setl_0137,pay_0466,payment,5000.0,40.0,7.2
setl_0138,pay_0467,payment,20076.74,160.61,28.91
setl_0138,pay_0468,payment,7000.0,140.0,25.2
setl_0138,pay_0469,payment,7000.0,56.0,10.08
setl_0139,pay_0470,payment,19617.64,392.35,70.62
setl_0140,pay_0471,payment,5000.0,100.0,18.0
setl_0140,pay_0472,payment,2073.35,31.1,5.6
setl_0140,pay_0473,payment,8000.0,64.0,11.52
setl_0141,pay_0474,payment,5000.0,100.0,18.0
setl_0141,pay_0475,payment,3528.37,28.23,5.08
setl_0141,pay_0476,payment,10000.0,200.0,36.0
setl_0141,pay_0477,payment,8000.0,64.0,11.52
setl_0142,pay_0478,payment,5389.67,107.79,19.4
setl_0143,pay_0479,payment,2500.0,20.0,3.6
setl_0143,pay_0480,payment,1397.2,11.18,2.01
setl_0143,pay_0481,payment,2500.0,20.0,3.6
setl_0143,pay_0482,payment,2500.0,20.0,3.6
setl_0144,pay_0483,refund,3558.82,28.47,5.12
setl_0144,pay_0484,payment,7000.0,140.0,25.2
setl_0144,pay_0485,payment,6763.64,135.27,24.35
setl_0144,pay_0486,payment,8000.0,64.0,11.52
setl_0144,pay_0487,payment,1214.87,9.72,1.75
setl_0144,pay_0488,payment,6657.78,53.26,9.59
setl_0145,pay_0489,payment,10000.0,80.0,14.4
setl_0145,pay_0490,payment,8000.0,64.0,11.52
setl_0145,pay_0491,payment,2427.27,19.42,3.5
setl_0145,pay_0492,payment,4667.45,37.34,6.72
setl_0146,pay_0493,payment,22474.8,179.8,32.36
setl_0147,pay_0494,payment,640.71,9.61,1.73
setl_0147,pay_0495,payment,5000.0,100.0,18.0
setl_0148,pay_0496,payment,5000.0,40.0,7.2
setl_0148,pay_0497,payment,2500.0,20.0,3.6
setl_0149,pay_0498,payment,2500.0,20.0,3.6
