id,merchant_id,amount,gross_amount,fees,tax,utr,status,settlement_period,created_at,target_anomaly
setl_0046,mer_001,9892.85,9987.13,79.9,14.38,AXIS35018189,processed,2026-08-22 Batch,2026-08-23T23:27:00,CLEAN_MATCH
setl_0047,mer_001,7432.51,7503.35,60.03,10.81,AXIS70486666,processed,2026-08-17 Batch,2026-08-18T13:08:00,CLEAN_MATCH
setl_0048,mer_001,12877.28,13000.0,104.0,18.72,AXIS44809624,processed,2026-08-29 Batch,2026-08-30T20:26:00,CLEAN_MATCH
setl_0049,mer_001,31936.36,34436.27,275.49,49.59,AXIS32297072,processed,2026-08-29 Batch,2026-08-30T07:48:00,CLEAN_MATCH
setl_0050,mer_001,25325.7,25740.0,351.1,63.2,AXIS18625158,processed,2026-08-25 Batch,2026-08-26T09:25:00,CLEAN_MATCH
setl_0051,mer_001,31627.12,32000.0,316.0,56.88,AXIS23530374,processed,2026-08-27 Batch,2026-08-28T18:18:00,CLEAN_MATCH
setl_0052,mer_001,32650.96,33118.64,396.34,71.34,AXIS88174504,processed,2026-08-29 Batch,2026-08-30T06:52:00,CLEAN_MATCH
setl_0053,mer_001,43108.93,43662.7,469.3,84.47,AXIS90931259,processed,2026-08-30 Batch,2026-08-31T06:41:00,DUPLICATE_BANK_ENTRY
setl_0054,mer_001,35594.39,35933.6,287.47,51.74,AXIS67640289,processed,2026-08-27 Batch,2026-08-28T09:58:00,CLEAN_MATCH
setl_0055,mer_001,6858.54,14984.4,119.88,21.58,AXIS58480869,processed,2026-08-22 Batch,2026-08-23T05:23:00,CLEAN_MATCH
setl_0056,mer_001,26270.96,26833.43,476.67,85.8,AXIS23445578,processed,2026-08-30 Batch,2026-08-31T05:08:00,CLEAN_MATCH
setl_0057,mer_001,46443.63,52185.65,628.83,113.19,AXIS28637880,processed,2026-08-29 Batch,2026-08-30T21:59:00,CLEAN_MATCH
setl_0058,mer_001,26950.91,27350.71,338.81,60.99,AXIS43358157,processed,2026-08-28 Batch,2026-08-29T07:29:00,CLEAN_MATCH
setl_0059,mer_001,32242.9,32662.7,355.76,64.04,AXIS65448912,processed,2026-08-26 Batch,2026-08-27T21:08:00,CLEAN_MATCH
setl_0060,mer_001,7924.48,8000.0,64.0,11.52,AXIS95064149,processed,2026-08-27 Batch,2026-08-28T18:56:00,MISSING_BANK_ENTRY
setl_0061,mer_001,55237.21,55763.62,446.11,80.3,AXIS69633763,processed,2026-08-28 Batch,2026-08-29T16:34:00,CLEAN_MATCH
setl_0062,mer_001,20552.4,20748.27,165.99,29.88,AXIS56752592,processed,2026-08-18 Batch,2026-08-19T08:43:00,TIMING_DIFFERENCE
setl_0063,mer_001,49120.34,50083.08,815.88,146.86,AXIS61654839,processed,2026-08-30 Batch,2026-08-31T10:40:00,CLEAN_MATCH
setl_0064,mer_001,81047.65,82135.87,922.22,166.0,AXIS86758128,processed,2026-08-30 Batch,2026-08-31T08:14:00,CLEAN_MATCH
setl_0065,mer_001,28791.73,29066.1,232.52,41.85,AXIS83651529,processed,2026-08-26 Batch,2026-08-27T07:16:00,CLEAN_MATCH
setl_0066,mer_001,26823.8,27183.66,304.97,54.89,AXIS98938318,processed,2026-08-26 Batch,2026-08-27T12:10:00,CLEAN_MATCH
setl_0067,mer_001,6933.92,7000.0,56.0,10.08,AXIS68370404,processed,2026-08-28 Batch,2026-08-29T15:52:00,CLEAN_MATCH
setl_0068,mer_001,22782.88,23000.0,184.0,33.12,AXIS39578370,processed,2026-08-28 Batch,2026-08-29T15:27:00,CLEAN_MATCH
setl_0069,mer_001,39847.7,40377.55,449.02,80.83,AXIS28220919,processed,2026-08-25 Batch,2026-08-26T12:53:00,CLEAN_MATCH
setl_0070,mer_001,12340.19,12457.79,99.66,17.94,AXIS87305664,processed,2026-08-26 Batch,2026-08-27T09:39:00,CLEAN_MATCH
setl_0071,mer_001,50341.64,51019.14,574.15,103.35,AXIS96181498,processed,2026-08-27 Batch,2026-08-28T12:03:00,CLEAN_MATCH
setl_0072,mer_001,23999.63,24228.35,193.83,34.89,AXIS49054205,processed,2026-08-20 Batch,2026-08-21T08:05:00,CLEAN_MATCH
setl_0073,mer_001,5496.52,5629.38,112.59,20.27,AXIS25583513,processed,2026-08-23 Batch,2026-08-24T19:40:00,CLEAN_MATCH
setl_0074,mer_001,37924.51,38300.7,318.8,57.39,AXIS10225283,processed,2026-08-26 Batch,2026-08-27T21:56:00,CLEAN_MATCH
setl_0075,mer_001,22216.8,22500.0,240.0,43.2,AXIS66867849,processed,2026-08-27 Batch,2026-08-28T20:21:00,CLEAN_MATCH
setl_0076,mer_001,23859.52,24201.26,289.61,52.13,AXIS99086047,processed,2026-08-25 Batch,2026-08-26T20:23:00,CLEAN_MATCH
setl_0077,mer_001,24104.5,24477.17,315.82,56.85,AXIS52402900,processed,2026-08-26 Batch,2026-08-27T13:34:00,CLEAN_MATCH
setl_0078,mer_001,25259.28,25500.0,204.0,36.72,AXIS71174364,processed,2026-08-30 Batch,2026-08-31T10:48:00,CLEAN_MATCH
setl_0079,mer_001,43254.08,43737.76,409.9,73.78,AXIS52968377,processed,2026-08-27 Batch,2026-08-28T06:20:00,CLEAN_MATCH
setl_0080,mer_001,17233.32,17500.0,226.0,40.68,AXIS87037211,processed,2026-08-21 Batch,2026-08-22T17:19:00,CLEAN_MATCH
setl_0081,mer_001,17379.33,17654.38,233.09,41.96,AXIS60560976,processed,2026-08-28 Batch,2026-08-29T20:19:00,REFUND_MISMATCH
setl_0082,mer_001,39516.2,40000.0,410.0,73.8,AXIS38268009,processed,2026-08-30 Batch,2026-08-31T04:41:00,CLEAN_MATCH
setl_0083,mer_001,25139.19,25500.28,306.01,55.08,AXIS62587561,processed,2026-08-29 Batch,2026-08-30T17:06:00,REFUND_MISMATCH
setl_0084,mer_001,7811.2,8000.0,160.0,28.8,AXIS83543652,processed,2026-08-19 Batch,2026-08-21T01:05:00,CLEAN_MATCH
setl_0085,mer_001,14363.12,14500.0,116.0,20.88,AXIS62527814,processed,2026-08-28 Batch,2026-08-29T16:57:00,CLEAN_MATCH
setl_0086,mer_001,21602.08,21807.94,174.46,31.4,AXIS36184828,processed,2026-08-29 Batch,2026-08-30T15:43:00,CLEAN_MATCH
setl_0087,mer_001,6593.02,6655.85,53.25,9.58,AXIS50812122,processed,2026-08-20 Batch,2026-08-21T14:06:00,CLEAN_MATCH
setl_0088,mer_001,22552.58,22767.51,182.14,32.79,AXIS74752231,processed,2026-08-26 Batch,2026-08-27T06:42:00,MISSING_BANK_ENTRY
setl_0089,mer_001,46526.58,47223.33,590.47,106.28,AXIS36260378,processed,2026-08-27 Batch,2026-08-28T12:46:00,CLEAN_MATCH
setl_0090,mer_001,2476.4,2500.0,20.0,3.6,AXIS29811269,processed,2026-08-21 Batch,2026-08-22T23:18:00,TIMING_DIFFERENCE
setl_0091,mer_001,2476.4,2500.0,20.0,3.6,AXIS22891308,processed,2026-08-28 Batch,2026-08-30T00:23:00,REFUND_MISMATCH
setl_0092,mer_001,1569.14,1584.09,12.67,2.28,AXIS79180538,processed,2026-08-23 Batch,2026-08-24T10:13:00,CLEAN_MATCH
setl_0093,mer_001,13207.87,13433.8,191.47,34.46,AXIS14562440,processed,2026-08-25 Batch,2026-08-26T01:37:00,CLEAN_MATCH
setl_0094,mer_001,28598.94,28963.89,309.28,55.67,AXIS90014633,processed,2026-08-21 Batch,2026-08-23T01:49:00,CLEAN_MATCH
setl_0095,mer_001,28132.42,28400.52,227.2,40.9,AXIS97283256,processed,2026-08-27 Batch,2026-08-28T08:56:00,CLEAN_MATCH
setl_0096,mer_001,21239.79,21540.89,255.17,45.93,AXIS11557250,processed,2026-08-28 Batch,2026-08-30T00:39:00,CLEAN_MATCH
setl_0097,mer_001,53513.24,54137.59,529.11,95.24,AXIS99763770,processed,2026-08-28 Batch,2026-08-29T22:34:00,CLEAN_MATCH
setl_0098,mer_001,29177.65,29455.72,235.65,42.42,AXIS46738721,processed,2026-08-29 Batch,2026-08-30T06:48:00,CLEAN_MATCH
setl_0099,mer_001,40750.83,41253.53,426.02,76.68,AXIS96516297,processed,2026-08-29 Batch,2026-08-31T00:29:00,CLEAN_MATCH
setl_0100,mer_001,19053.08,19513.6,390.27,70.25,AXIS18522597,processed,2026-08-30 Batch,2026-08-31T08:48:00,CLEAN_MATCH
setl_0101,mer_001,35918.07,39067.69,360.22,64.84,AXIS84633131,processed,2026-08-29 Batch,2026-08-30T21:05:00,CLEAN_MATCH
setl_0102,mer_001,49499.09,50126.55,531.75,95.71,AXIS97469782,processed,2026-08-29 Batch,2026-08-30T19:08:00,CLEAN_MATCH
setl_0103,mer_001,12693.2,13000.0,260.0,46.8,AXIS90410190,processed,2026-08-26 Batch,2026-08-27T11:54:00,CLEAN_MATCH
setl_0104,mer_001,4952.8,5000.0,40.0,7.2,AXIS15253706,processed,2026-08-24 Batch,2026-08-25T13:33:00,CLEAN_MATCH
setl_0105,mer_001,6876.1,7000.0,105.0,18.9,AXIS85496963,processed,2026-08-24 Batch,2026-08-26T01:23:00,AMOUNT_MISMATCH
setl_0106,mer_001,27194.97,27454.14,219.63,39.54,AXIS50074450,processed,2026-08-27 Batch,2026-08-28T09:47:00,TIMING_DIFFERENCE
setl_0107,mer_001,36870.14,37373.58,426.64,76.8,AXIS10011484,processed,2026-08-26 Batch,2026-08-27T10:07:00,CLEAN_MATCH
setl_0108,mer_001,44576.38,45001.19,360.01,64.8,AXIS81686010,processed,2026-08-28 Batch,2026-08-29T05:02:00,CLEAN_MATCH
setl_0109,mer_001,34395.96,34923.88,447.39,80.53,AXIS57260360,processed,2026-08-26 Batch,2026-08-27T21:20:00,CLEAN_MATCH
setl_0110,mer_001,9747.82,9840.72,78.73,14.17,AXIS14930347,processed,2026-08-28 Batch,2026-08-29T21:09:00,CLEAN_MATCH
setl_0111,mer_001,12329.18,12525.66,166.51,29.97,AXIS90818451,processed,2026-08-26 Batch,2026-08-27T07:05:00,CLEAN_MATCH
setl_0112,mer_001,28480.17,28770.77,246.27,44.33,AXIS93525402,processed,2026-08-28 Batch,2026-08-29T05:15:00,CLEAN_MATCH
setl_0113,mer_001,14823.0,15000.0,150.0,27.0,AXIS97210510,processed,2026-08-27 Batch,2026-08-28T23:22:00,CLEAN_MATCH
setl_0114,mer_001,41311.94,41805.71,418.45,75.32,AXIS67088619,processed,2026-08-25 Batch,2026-08-26T23:37:00,CLEAN_MATCH
setl_0115,mer_001,27596.85,37164.46,516.05,92.89,AXIS96647103,processed,2026-08-28 Batch,2026-08-29T05:02:00,CLEAN_MATCH
setl_0116,mer_001,49641.63,50559.22,777.62,139.97,AXIS32017488,processed,2026-08-23 Batch,2026-08-24T15:21:00,AMOUNT_MISMATCH
setl_0117,mer_001,7924.48,8000.0,64.0,11.52,AXIS91014793,processed,2026-08-23 Batch,2026-08-24T23:11:00,CLEAN_MATCH
setl_0118,mer_001,9905.6,10000.0,80.0,14.4,AXIS83600812,processed,2026-08-18 Batch,2026-08-19T21:36:00,CLEAN_MATCH
setl_0119,mer_001,28726.22,29035.72,262.29,47.21,AXIS54763940,processed,2026-08-27 Batch,2026-08-29T02:11:00,CLEAN_MATCH
setl_0120,mer_001,14698.56,14838.64,118.71,21.37,AXIS11323834,processed,2026-08-25 Batch,2026-08-26T23:12:00,CLEAN_MATCH
setl_0121,mer_001,7487.11,7668.07,153.36,27.6,AXIS26576358,processed,2026-08-29 Batch,2026-08-30T04:56:00,CLEAN_MATCH
setl_0122,mer_001,30035.08,30500.0,394.0,70.92,AXIS22823236,processed,2026-08-29 Batch,2026-08-30T03:54:00,CLEAN_MATCH
setl_0123,mer_001,31365.87,31764.85,338.12,60.86,AXIS46380247,processed,2026-08-29 Batch,2026-08-30T02:56:00,MISSING_BANK_ENTRY
setl_0124,mer_001,39943.92,40438.95,419.52,75.51,AXIS34249450,processed,2026-08-23 Batch,2026-08-24T12:55:00,CLEAN_MATCH
setl_0125,mer_001,26235.01,26520.77,242.17,43.59,AXIS89808139,processed,2026-08-26 Batch,2026-08-27T13:41:00,CLEAN_MATCH
setl_0126,mer_001,2476.4,2500.0,20.0,3.6,AXIS78929583,processed,2026-08-28 Batch,2026-08-29T16:53:00,CLEAN_MATCH
setl_0127,mer_001,41872.97,42535.54,561.5,101.07,AXIS45885781,processed,2026-08-29 Batch,2026-08-30T20:23:00,DUPLICATE_BANK_ENTRY
setl_0128,mer_001,39401.52,40479.22,507.19,91.29,AXIS43435196,processed,2026-08-28 Batch,2026-08-29T05:12:00,CLEAN_MATCH
setl_0129,mer_001,34017.94,34456.49,371.65,66.9,AXIS72903261,processed,2026-08-24 Batch,2026-08-25T13:38:00,CLEAN_MATCH
setl_0130,mer_001,39315.83,39885.75,482.98,86.94,AXIS40704198,processed,2026-08-25 Batch,2026-08-26T15:42:00,CLEAN_MATCH
setl_0131,mer_001,44928.68,45356.85,362.86,65.31,AXIS51974837,processed,2026-08-29 Batch,2026-08-31T00:39:00,CLEAN_MATCH
setl_0132,mer_001,9764.0,10000.0,200.0,36.0,AXIS32161108,processed,2026-08-25 Batch,2026-08-27T00:11:00,CLEAN_MATCH
setl_0133,mer_001,34497.0,34825.76,278.61,50.15,AXIS11435415,processed,2026-08-29 Batch,2026-08-30T18:32:00,CLEAN_MATCH
setl_0134,mer_001,23736.36,24029.27,248.23,44.68,AXIS76814283,processed,2026-08-28 Batch,2026-08-29T04:28:00,CLEAN_MATCH
setl_0135,mer_001,43114.68,43632.79,439.07,79.04,AXIS10978481,processed,2026-08-29 Batch,2026-08-31T01:13:00,CLEAN_MATCH
setl_0136,mer_001,22761.2,23209.84,380.2,68.44,AXIS98741286,processed,2026-08-25 Batch,2026-08-26T08:48:00,CLEAN_MATCH
setl_0137,mer_001,17831.02,18000.95,144.01,25.92,AXIS33463164,processed,2026-08-25 Batch,2026-08-26T08:56:00,CLEAN_MATCH
setl_0138,mer_001,33655.94,34076.74,356.61,64.19,AXIS16832563,processed,2026-08-30 Batch,2026-08-31T06:18:00,CLEAN_MATCH
setl_0139,mer_001,19154.67,19617.64,392.35,70.62,AXIS55360034,processed,2026-08-26 Batch,2026-08-27T20:13:00,AMOUNT_MISMATCH
setl_0140,mer_001,14843.13,15073.35,195.1,35.12,AXIS74843897,processed,2026-08-28 Batch,2026-08-30T02:53:00,CLEAN_MATCH
setl_0141,mer_001,26065.54,26528.37,392.23,70.6,AXIS39187415,processed,2026-08-25 Batch,2026-08-26T05:22:00,DUPLICATE_BANK_ENTRY
setl_0142,mer_001,5262.48,5389.67,107.79,19.4,AXIS72150455,processed,2026-08-17 Batch,2026-08-19T02:34:00,CLEAN_MATCH
setl_0143,mer_001,8813.21,8897.2,71.18,12.81,AXIS54097476,processed,2026-08-27 Batch,2026-08-28T15:24:00,CLEAN_MATCH
setl_0144,mer_001,29128.04,33195.11,430.72,77.53,AXIS34985664,processed,2026-08-28 Batch,2026-08-29T06:34:00,CLEAN_MATCH
setl_0145,mer_001,24857.82,25094.72,200.76,36.14,AXIS36513965,processed,2026-08-29 Batch,2026-08-30T07:01:00,CLEAN_MATCH
setl_0146,mer_001,22262.64,22474.8,179.8,32.36,AXIS75419352,processed,2026-08-19 Batch,2026-08-20T05:53:00,CLEAN_MATCH
setl_0147,mer_001,5511.37,5640.71,109.61,19.73,AXIS73176107,processed,2026-08-30 Batch,2026-08-31T06:29:00,CLEAN_MATCH
setl_0148,mer_001,7429.2,7500.0,60.0,10.8,AXIS81998064,processed,2026-08-22 Batch,2026-08-23T22:39:00,CLEAN_MATCH
setl_0149,mer_001,9173.79,9261.22,74.09,13.34,AXIS28773624,processed,2026-08-26 Batch,2026-08-27T22:56:00,CLEAN_MATCH
setl_0150,mer_001,44701.12,45274.63,486.02,87.49,AXIS36637470,processed,2026-08-29 Batch,2026-08-30T10:54:00,CLEAN_MATCH
setl_0151,mer_001,16922.42,17198.05,233.58,42.05,AXIS66513148,processed,2026-08-29 Batch,2026-08-31T02:56:00,MISSING_BANK_ENTRY
setl_0152,mer_001,44875.7,45303.36,362.42,65.24,AXIS99287389,processed,2026-08-26 Batch,2026-08-27T15:42:00,CLEAN_MATCH
setl_0153,mer_001,42635.19,43041.5,344.33,61.98,AXIS27103900,processed,2026-08-23 Batch,2026-08-24T20:10:00,CLEAN_MATCH
setl_0154,mer_001,31906.11,32353.12,378.82,68.19,AXIS62190363,processed,2026-08-29 Batch,2026-08-30T13:18:00,CLEAN_MATCH
setl_0155,mer_001,13693.02,13923.58,195.39,35.17,AXIS30876492,processed,2026-08-26 Batch,2026-08-27T06:16:00,CLEAN_MATCH
setl_0156,mer_001,7924.48,8000.0,64.0,11.52,AXIS55921387,processed,2026-08-28 Batch,2026-08-29T11:25:00,REFUND_MISMATCH
setl_0157,mer_001,27127.18,27643.01,437.15,78.68,AXIS74450415,processed,2026-08-25 Batch,2026-08-26T12:51:00,CLEAN_MATCH
setl_0158,mer_001,12806.48,13000.0,164.0,29.52,AXIS92894635,processed,2026-08-28 Batch,2026-08-29T06:32:00,CLEAN_MATCH
setl_0159,mer_001,12469.11,12604.26,114.53,20.62,AXIS25437721,processed,2026-08-20 Batch,2026-08-21T15:51:00,FEE_TAX_MISMATCH
setl_0160,mer_001,17634.2,18000.0,310.0,55.8,AXIS73604818,processed,2026-08-28 Batch,2026-08-29T10:30:00,CLEAN_MATCH
setl_0161,mer_001,11716.8,12000.0,240.0,43.2,AXIS35322723,processed,2026-08-28 Batch,2026-08-29T21:04:00,CLEAN_MATCH
setl_0162,mer_001,7924.48,8000.0,64.0,11.52,AXIS46757086,processed,2026-08-27 Batch,2026-08-28T08:59:00,DUPLICATE_BANK_ENTRY
setl_0163,mer_001,36589.25,39767.47,399.35,71.88,AXIS36795696,processed,2026-08-28 Batch,2026-08-29T03:02:00,AMOUNT_MISMATCH
setl_0164,mer_001,35462.7,35979.34,437.83,78.81,AXIS95001425,processed,2026-08-27 Batch,2026-08-28T22:23:00,CLEAN_MATCH
setl_0165,mer_001,7924.48,8000.0,64.0,11.52,AXIS78432746,processed,2026-08-21 Batch,2026-08-22T16:22:00,CLEAN_MATCH
setl_0166,mer_001,31390.99,31790.21,338.32,60.9,AXIS58798364,processed,2026-08-23 Batch,2026-08-24T08:09:00,TIMING_DIFFERENCE
setl_0167,mer_001,9338.6,9427.6,75.42,13.58,AXIS52928316,processed,2026-08-22 Batch,2026-08-23T21:47:00,CLEAN_MATCH
setl_0168,mer_001,55585.42,56181.86,505.46,90.98,AXIS53169737,processed,2026-08-30 Batch,2026-08-31T02:35:00,CLEAN_MATCH
setl_0169,mer_001,7924.48,8000.0,64.0,11.52,AXIS67835429,processed,2026-08-23 Batch,2026-08-24T15:22:00,CLEAN_MATCH
setl_0170,mer_001,24706.18,25000.0,249.0,44.82,AXIS50850064,processed,2026-08-27 Batch,2026-08-28T23:51:00,CLEAN_MATCH
setl_0171,mer_001,17830.08,18000.0,144.0,25.92,AXIS54454486,processed,2026-08-23 Batch,2026-08-24T20:26:00,CLEAN_MATCH
setl_0172,mer_001,16497.59,16840.65,290.73,52.33,AXIS91163313,processed,2026-08-28 Batch,2026-08-29T16:03:00,CLEAN_MATCH
setl_0173,mer_001,32181.47,32731.17,465.85,83.85,AXIS61546232,processed,2026-08-25 Batch,2026-08-26T14:44:00,MISSING_BANK_ENTRY
setl_0174,mer_001,2500.0,2500.0,50.0,9.0,AXIS15508152,processed,2026-08-23 Batch,2026-08-24T10:12:00,CLEAN_MATCH
setl_0175,mer_001,9905.6,10000.0,80.0,14.4,AXIS83360594,processed,2026-08-24 Batch,2026-08-25T10:31:00,CLEAN_MATCH
setl_0176,mer_001,44768.34,45261.69,418.09,75.26,AXIS30625554,processed,2026-08-28 Batch,2026-08-29T06:32:00,CLEAN_MATCH
setl_0177,mer_001,44263.68,45000.0,624.0,112.32,AXIS43893399,processed,2026-08-29 Batch,2026-08-30T14:29:00,MISSING_BANK_ENTRY
setl_0178,mer_001,24506.76,33000.0,418.0,75.24,AXIS19087680,processed,2026-08-29 Batch,2026-08-30T23:35:00,CLEAN_MATCH
setl_0179,mer_001,29696.73,29979.74,239.84,43.17,AXIS90417043,processed,2026-08-22 Batch,2026-08-23T23:09:00,CLEAN_MATCH
setl_0180,mer_001,9764.0,10000.0,200.0,36.0,AXIS85990691,processed,2026-08-27 Batch,2026-08-28T08:36:00,CLEAN_MATCH
setl_0181,mer_001,39890.26,42360.95,398.89,71.8,AXIS63350718,processed,2026-08-29 Batch,2026-08-30T08:59:00,CLEAN_MATCH
setl_0182,mer_001,6933.92,7000.0,56.0,10.08,AXIS32215479,processed,2026-08-30 Batch,2026-08-31T07:05:00,CLEAN_MATCH
setl_0183,mer_001,26492.67,26745.15,213.96,38.52,AXIS63801036,processed,2026-08-29 Batch,2026-08-30T19:12:00,CLEAN_MATCH
