settlement_id,bank_transaction_id,true_match_status,true_exception_type,true_difference,anomaly_label
setl_0030,tx_bank_0030,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0031,tx_bank_0031,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0032,tx_bank_0032,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0033,tx_bank_0033,MISMATCH,FEE_TAX_MISMATCH,45.0,FEE_TAX_MISMATCH
setl_0034,tx_bank_0034,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0035,tx_bank_0035,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0036,tx_bank_0036,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0037,tx_bank_0037,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0038,tx_bank_0038,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0039,tx_bank_0039,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0040,tx_bank_0040,MISMATCH,AMOUNT_MISMATCH,1200.0,AMOUNT_MISMATCH
setl_0041,tx_bank_0041,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0042,tx_bank_0042,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0043,tx_bank_0043,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0044,tx_bank_0044,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0045,tx_bank_0045,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0046,tx_bank_0046,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0047,tx_bank_0047,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0048,tx_bank_0048,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0049,tx_bank_0049,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0050,tx_bank_0050,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0051,tx_bank_0051,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0052,tx_bank_0052,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0053,tx_bank_0053,PARTIAL,DUPLICATE_ENTRY,43108.93,DUPLICATE_BANK_ENTRY
setl_0054,tx_bank_0054,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0055,tx_bank_0055,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0056,tx_bank_0056,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0057,tx_bank_0057,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0058,tx_bank_0058,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0059,tx_bank_0059,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0060,NONE,UNRESOLVED,MISSING_SETTLEMENT,7924.48,MISSING_BANK_ENTRY
setl_0061,tx_bank_0061,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0062,tx_bank_0062,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0063,tx_bank_0063,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0064,tx_bank_0064,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0065,tx_bank_0065,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0066,tx_bank_0066,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0067,tx_bank_0067,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0068,tx_bank_0068,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0069,tx_bank_0069,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0070,tx_bank_0070,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0071,tx_bank_0071,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0072,tx_bank_0072,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0073,tx_bank_0073,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0074,tx_bank_0074,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0075,tx_bank_0075,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0076,tx_bank_0076,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0077,tx_bank_0077,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0078,tx_bank_0078,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0079,tx_bank_0079,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0080,tx_bank_0080,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0081,tx_bank_0081,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0082,tx_bank_0082,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0083,tx_bank_0083,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0084,tx_bank_0084,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0085,tx_bank_0085,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0086,tx_bank_0086,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0087,tx_bank_0087,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0088,NONE,UNRESOLVED,MISSING_SETTLEMENT,22552.58,MISSING_BANK_ENTRY
setl_0089,tx_bank_0089,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0090,tx_bank_0090,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0091,tx_bank_0091,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0092,tx_bank_0092,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0093,tx_bank_0093,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0094,tx_bank_0094,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0095,tx_bank_0095,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0096,tx_bank_0096,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0097,tx_bank_0097,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0098,tx_bank_0098,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0099,tx_bank_0099,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0100,tx_bank_0100,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0101,tx_bank_0101,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0102,tx_bank_0102,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0103,tx_bank_0103,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0104,tx_bank_0104,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0105,tx_bank_0105,MISMATCH,AMOUNT_MISMATCH,200.0,AMOUNT_MISMATCH
setl_0106,tx_bank_0106,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0107,tx_bank_0107,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0108,tx_bank_0108,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0109,tx_bank_0109,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0110,tx_bank_0110,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0111,tx_bank_0111,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0112,tx_bank_0112,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0113,tx_bank_0113,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0114,tx_bank_0114,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0115,tx_bank_0115,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0116,tx_bank_0116,MISMATCH,AMOUNT_MISMATCH,1200.0,AMOUNT_MISMATCH
setl_0117,tx_bank_0117,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0118,tx_bank_0118,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0119,tx_bank_0119,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0120,tx_bank_0120,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0121,tx_bank_0121,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0122,tx_bank_0122,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0123,NONE,UNRESOLVED,MISSING_SETTLEMENT,31365.87,MISSING_BANK_ENTRY
setl_0124,tx_bank_0124,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0125,tx_bank_0125,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0126,tx_bank_0126,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0127,tx_bank_0127,PARTIAL,DUPLICATE_ENTRY,41872.97,DUPLICATE_BANK_ENTRY
setl_0128,tx_bank_0128,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0129,tx_bank_0129,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0130,tx_bank_0130,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0131,tx_bank_0131,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0132,tx_bank_0132,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0133,tx_bank_0133,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0134,tx_bank_0134,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0135,tx_bank_0135,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0136,tx_bank_0136,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0137,tx_bank_0137,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0138,tx_bank_0138,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0139,tx_bank_0139,MISMATCH,AMOUNT_MISMATCH,850.0,AMOUNT_MISMATCH
setl_0140,tx_bank_0140,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0141,tx_bank_0141,PARTIAL,DUPLICATE_ENTRY,26065.54,DUPLICATE_BANK_ENTRY
setl_0142,tx_bank_0142,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0143,tx_bank_0143,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0144,tx_bank_0144,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0145,tx_bank_0145,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0146,tx_bank_0146,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0147,tx_bank_0147,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0148,tx_bank_0148,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0149,tx_bank_0149,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0150,tx_bank_0150,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0151,NONE,UNRESOLVED,MISSING_SETTLEMENT,16922.42,MISSING_BANK_ENTRY
setl_0152,tx_bank_0152,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0153,tx_bank_0153,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0154,tx_bank_0154,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0155,tx_bank_0155,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0156,tx_bank_0156,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0157,tx_bank_0157,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0158,tx_bank_0158,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0159,tx_bank_0159,MISMATCH,FEE_TAX_MISMATCH,45.0,FEE_TAX_MISMATCH
setl_0160,tx_bank_0160,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0161,tx_bank_0161,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0162,tx_bank_0162,PARTIAL,DUPLICATE_ENTRY,7924.48,DUPLICATE_BANK_ENTRY
setl_0163,tx_bank_0163,MISMATCH,AMOUNT_MISMATCH,850.0,AMOUNT_MISMATCH
setl_0164,tx_bank_0164,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0165,tx_bank_0165,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0166,tx_bank_0166,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0167,tx_bank_0167,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0168,tx_bank_0168,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0169,tx_bank_0169,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0170,tx_bank_0170,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0171,tx_bank_0171,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0172,tx_bank_0172,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0173,NONE,UNRESOLVED,MISSING_SETTLEMENT,32181.47,MISSING_BANK_ENTRY
setl_0174,tx_bank_0174,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0175,tx_bank_0175,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0176,tx_bank_0176,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0177,NONE,UNRESOLVED,MISSING_SETTLEMENT,44263.68,MISSING_BANK_ENTRY
setl_0178,tx_bank_0178,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0179,tx_bank_0179,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0180,tx_bank_0180,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0181,tx_bank_0181,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0182,tx_bank_0182,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0183,tx_bank_0183,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0184,NONE,UNRESOLVED,MISSING_SETTLEMENT,46649.25,MISSING_BANK_ENTRY
setl_0185,tx_bank_0185,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0186,tx_bank_0186,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0187,tx_bank_0187,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0188,tx_bank_0188,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0189,tx_bank_0189,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0190,tx_bank_0190,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0191,tx_bank_0191,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0192,tx_bank_0192,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0193,tx_bank_0193,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0194,tx_bank_0194,MISMATCH,AMOUNT_MISMATCH,850.0,AMOUNT_MISMATCH
setl_0195,tx_bank_0195,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0196,tx_bank_0196,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0197,tx_bank_0197,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0198,tx_bank_0198,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0199,tx_bank_0199,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0200,tx_bank_0200,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0201,tx_bank_0201,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0202,tx_bank_0202,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0203,tx_bank_0203,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0204,tx_bank_0204,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0205,tx_bank_0205,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0206,tx_bank_0206,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0207,tx_bank_0207,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0208,tx_bank_0208,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0209,tx_bank_0209,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0210,tx_bank_0210,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0211,tx_bank_0211,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0212,tx_bank_0212,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0213,tx_bank_0213,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0214,NONE,UNRESOLVED,MISSING_SETTLEMENT,26772.76,MISSING_BANK_ENTRY
setl_0215,tx_bank_0215,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0216,tx_bank_0216,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0217,tx_bank_0217,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0218,tx_bank_0218,MISMATCH,FEE_TAX_MISMATCH,45.0,FEE_TAX_MISMATCH
setl_0219,tx_bank_0219,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0220,tx_bank_0220,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0221,tx_bank_0221,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0222,tx_bank_0222,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0223,tx_bank_0223,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0224,tx_bank_0224,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0225,tx_bank_0225,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0226,tx_bank_0226,MISMATCH,AMOUNT_MISMATCH,450.0,AMOUNT_MISMATCH
setl_0227,tx_bank_0227,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0228,tx_bank_0228,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0229,tx_bank_0229,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0230,tx_bank_0230,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0231,tx_bank_0231,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0232,tx_bank_0232,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0233,tx_bank_0233,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0234,tx_bank_0234,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0235,tx_bank_0235,PARTIAL,DUPLICATE_ENTRY,48431.37,DUPLICATE_BANK_ENTRY
setl_0236,tx_bank_0236,PARTIAL,DUPLICATE_ENTRY,39454.74,DUPLICATE_BANK_ENTRY
setl_0237,tx_bank_0237,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0238,tx_bank_0238,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0239,tx_bank_0239,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0240,tx_bank_0240,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0241,tx_bank_0241,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0242,tx_bank_0242,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0243,tx_bank_0243,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0244,tx_bank_0244,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0245,tx_bank_0245,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0246,tx_bank_0246,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0247,tx_bank_0247,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0248,tx_bank_0248,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0249,tx_bank_0249,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0250,tx_bank_0250,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0251,tx_bank_0251,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0252,tx_bank_0252,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0253,tx_bank_0253,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0254,tx_bank_0254,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0255,tx_bank_0255,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0256,tx_bank_0256,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0257,tx_bank_0257,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0258,tx_bank_0258,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0259,tx_bank_0259,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0260,tx_bank_0260,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0261,tx_bank_0261,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0262,tx_bank_0262,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0263,tx_bank_0263,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0264,tx_bank_0264,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0265,tx_bank_0265,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0266,tx_bank_0266,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0267,tx_bank_0267,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0268,tx_bank_0268,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0269,tx_bank_0269,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0270,tx_bank_0270,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0271,tx_bank_0271,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0272,tx_bank_0272,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0273,tx_bank_0273,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0274,tx_bank_0274,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0275,tx_bank_0275,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0276,tx_bank_0276,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0277,tx_bank_0277,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0278,tx_bank_0278,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0279,tx_bank_0279,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0280,tx_bank_0280,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0281,tx_bank_0281,PARTIAL,DUPLICATE_ENTRY,19243.58,DUPLICATE_BANK_ENTRY
setl_0282,tx_bank_0282,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0283,tx_bank_0283,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0284,tx_bank_0284,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0285,tx_bank_0285,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0286,tx_bank_0286,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0287,tx_bank_0287,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0288,tx_bank_0288,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0289,tx_bank_0289,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0290,tx_bank_0290,MISMATCH,AMOUNT_MISMATCH,850.0,AMOUNT_MISMATCH
setl_0291,tx_bank_0291,MISMATCH,FEE_TAX_MISMATCH,45.0,FEE_TAX_MISMATCH
setl_0292,tx_bank_0292,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0293,tx_bank_0293,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0294,tx_bank_0294,MISMATCH,AMOUNT_MISMATCH,1200.0,AMOUNT_MISMATCH
setl_0295,tx_bank_0295,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0296,NONE,UNRESOLVED,MISSING_SETTLEMENT,24764.0,MISSING_BANK_ENTRY
setl_0297,tx_bank_0297,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0298,tx_bank_0298,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0299,tx_bank_0299,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0300,tx_bank_0300,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0301,tx_bank_0301,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0302,tx_bank_0302,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0303,NONE,UNRESOLVED,MISSING_SETTLEMENT,28239.21,MISSING_BANK_ENTRY
NONE,tx_bank_unk_001,UNRESOLVED,UNKNOWN_BANK_ENTRY,8400.0,UNKNOWN_BANK_ENTRY
NONE,tx_bank_unk_002,UNRESOLVED,UNKNOWN_BANK_ENTRY,3200.0,UNKNOWN_BANK_ENTRY
NONE,tx_bank_unk_003,UNRESOLVED,UNKNOWN_BANK_ENTRY,8400.0,UNKNOWN_BANK_ENTRY
NONE,tx_bank_unk_004,UNRESOLVED,UNKNOWN_BANK_ENTRY,3200.0,UNKNOWN_BANK_ENTRY
